Name,Email,Phone,CollegeName
facebook,heamanthofficial@gmail.com,13113144114,2114124
facebook,heamanthofficial@gmail.com,4342454423443,dbfbdbdb
login,heamanthofficial@gmail.com,123456789,1123445667
facebook,heamanthofficial@gmail.com,333333353636,1123445667SAXDD
facebook,heamanthofficial@gmail.com,222222222222222200,dbfbdbdb
facebook,heamanthofficial@gmail.com,12466786846,dbfbdbdb
facebook,heamanthofficial@gmail.com,13113144114,2114124
facebook,heamanthofficial@gmail.com,4342454423443,dbfbdbdb
login,heamanthofficial@gmail.com,123456789,1123445667
facebook,heamanthofficial@gmail.com,333333353636,1123445667SAXDD
facebook,heamanthofficial@gmail.com,222222222222222200,dbfbdbdb
facebook,heamanthofficial@gmail.com,12466786846,dbfbdbdb
